"rank","judul","tahun","episode","network","umur","sinopsis","genre","tags","rating","funfact"
"33","Defendant","2017","18","SBS, Viu","15+","Park Jung Woo adalah seorang jaksa di Kantor Kejaksaan Distrik Pusat Seoul. Suatu hari, ia bangun dan mendapati dirinya sebagai terpidana mati. Menderita amnesia sementara, Jung Woo tidak tahu apa yang terjadi hingga membuatnya dipenjara. Ia berjuang untuk memulihkan ingatannya dan membersihkan namanya sebelum waktunya habis.","Suspense,  Thriller,  Mystery,  Law,  Drama ","Prison, Murder, Amnesia, Wrongfully Accused, Bromance, Identity Swap, Twins, Prisoner, Friends To Enemies, Hatred","8.8","Pada episode pertama, drama ini mendapat rating cukup tinggi yaitu 14,5% di Korea berdasarkan Nielsen Korea."
"34","While You Were Sleep","2017","32","SBS, iQIYI, Vidio, Viu","15+","Berkisah tentang Hong Joo (Bae Suzy) yang tinggal bersama ibunya dan membantunya menjalankan restoran babi. Hong Joo dihantui dengan melihat kematian orang lain di masa depan dalam mimpinya. Yang lebih buruk adalah ia tidak tahu kapan kematian akan terjadi, tetapi ia mencoba menghentikan mimpinya menjadi kenyataan. Suatu malam, Hong Joo bermimpi tentang kematian ibunya sendiri.","Thriller,  Mystery,  Comedy,  Romance,  Drama,  Fa","Precognition, Nice Male Lead, Neighbors, Murder, Tragic Past, Prosecutor, Childhood Acquaintance, Smart Male Lead, Steamy Kiss, Police Officer","8.7","Sebelum ditayangkan di Channel SBS, drama While You Were Sleeping diproduksi 100% terlebih dahulu. Artinya, drama dibuat tak kejar tayang dan hanya memakan waktu selama lima bulan."
"35","Kill Me, Heal Me","2015","20","MBC, iQIYI, Viu, WeTV","15+","Pengalaman masa kecil yang traumatis membuat Cha Do Hyeon menderita kehilangan ingatan dan disosiasi. Pengalaman buruk Cha Do Hyun saat masih kecil itu akhirnya menciptakan 7 kepribadian yang berbeda muncul dalam dirinya. Untuk mendapatkan kembali kendali atas hidupnya, ia meminta Oh Ri Jin, seorang psikiater tahun pertama, untuk membantunya, tetapi ia malah jatuh cinta dengan salah satu kepribadiannya. Saudara kembar Ri Jin, Oh Ri On, seorang novelis misteri terkenal, menyelidiki Do Hyeon dan keluarganya.","Psychological,  Comedy,  Romance,  Drama ","Dissociative Identity Disorder, Trauma, Boss/Employee Relationship, Rich Male Lead, Mental Health, PTSD, Psychiatry, Nice Male Lead, Mean Male Lead, Rich Man/Poor Woman","8.7","Dalam MBC Drama Awards 2015 ini, drama Kill Me Heal Me berhasil memborong penghargaan dalam 9 kategori."
"36","Dear My Friends","2016","16","tvN, Netflix, Disney+ Hotstar, Prime video, K-DRAM","15+","Park Wan adalah seorang penerjemah yang terus-menerus ditarik oleh ibunya, Jang Nan Hee, untuk bergaul dengan teman tuanya, Jo Hee Ja, Moon Jung Ah, Oh Choong Nam, dan Lee Yeong Won. Plotnya berputar di sekitar kehidupan teman-teman dan cerita yang mereka bagikan dengan Park Wan dengan harapan dia akan menulis novel tentang mereka.","Friendship,  Life,  Drama,  Family,  Melodrama ","Best Friends, Life Lesson, Female Centered Plot, Senior Citizen, Mother-Son Relationship, Mother-Daughter Relationship, Multiple Couples, Single Mother, Abusive Relationship, Slice Of Life","8.7","Drama ini mampu mengalahkan ""Goblin"" dalam penghargaan drama terbaik di Baeksang Award"
"37","Youth of May","2021","12","KBS2, Viki, Netflix, Prime Video","15+","Hee Tae menjadi kebanggaan Gwangju saat ia memasuki Seoul National University College of Medicine dengan nilai tertinggi. Sahabatnya, Kyung Soo, seorang aktivis pro-demokrasi yang rajin, bersikeras bahwa mereka membuka klinik ilegal untuk siswa yang melarikan diri dari pemerintah. Suatu hari, seorang pekerja pabrik terluka saat protes. Sebagai ganti biaya transportasi diam-diam dirinya dan pekerja pabrik ke kampung halamannya, Hee Tae harus pergi ke pertemuan dengan calon pasangan pernikahan yang diatur oleh ayahnya. Pada pertemuan ini, Hee Tae bertemu dengan Myung Hee, seorang perawat yang bertahan melalui kesulitan hidup. Dia hanya setuju untuk pergi ke pertemuan ini menggantikan temannya Soo Ryeon, karena dia harus memikirkan tiket pesawat untuk pergi belajar di Jerman. Namun, Myung Hee dan Hee Tae akhirnya jatuh cinta. Pada bulan Mei 1980, di tengah semangat dan tangisan untuk demokr","Historical,  Romance,  Youth,  Drama,  Melodrama ","1980s, Nurse, Rich Man/Poor Woman, Gwangju Uprising, Medical Student, Strong Female Lead, Smart Female Lead, Sad Romance, Forbidden Love, Star Crossed Lovers","8.7","Drama ini berdasarkan peristiwa nyata, yaitu Pemberontakan Gwangju yang terjadi di kota Gwangju, Korea Selatan, pada 18 Mei hingga 27 Mei 1980."
"38","Dr. Romantic 2","2020","16","SBS, WeTV, Netflix, Viki, Apple TV","15+","Kisah ""dokter sejati"" berlatar di sebuah rumah sakit kecil sederhana bernama Rumah Sakit Doldam. Ini adalah kisah tentang orang-orang yang bertemu Kim Sa Bu, seorang dokter jenius, dan menemukan “romansa sejati.”","Romance,  Drama,  Medical,  Melodrama ","Hospital, Smart Male Lead, Doctor, Character Development, Bickering Couple, Love/Hate Relationship, Smart Female Lead, Hardworking Female Lead, Nurse, Healing","8.7","Drama ini sukses tembus dengan rating hingga 15,5 persen di episode pertama."
"39","Arthdal Chronicles P","2019","6","tvN,  Netflix","15+","Ta Gon kini telah menjadi orang paling kuat di Arthdal. Dia memiliki hubungan kasih sayang hanya dengan Taealha, putri saingan Suku Hae, karena ambisi bersama mereka.","Historical,  Romance,  Drama,  Fantasy,  Political","Twins, War, Multiple Mains, Power Struggle, Revenge, Slavery, Good Twin/Evil Twin, Strong Female Lead, Character Development, Father-Daughter Relationship","8.7","Pada Season pertama, drama ini disebutkan sebagai salah satu Drama Korea yang memakan biaya produksi cukup tinggi dengan total 18 episode."
"40","Misaeng","2014","20","tvN, Viki, WeTV","15+","Jang Geu Rae telah memainkan permainan Go sejak dia masih kecil. Ketika rencananya untuk menjadi pemain Go profesional gagal, Geu Rae yang putus asa dipaksa untuk mengambil pekerjaan kantor sebagai magang yang disiapkan untuknya oleh rekomendasi seorang kenalan untuknya ke sebuah perusahaan besar bernama One International.","Friendship,  Business,  Life,  Drama ","Office Worker, Workplace Abuse, Teamwork, Adapted From A Webtoon, Hardworking Male Lead, Workplace, Smart Female Lead, Strong Female Lead, Nice Male Lead, Hardworking Female Lead","8.7","Drama ini mengangkat isu ketidaksetaraan gender di tempat kerja yang dialamai pekerja perempuan di Korea Selatan."
"41","Law School","2021","16","jTBC,  Netflix","15+","Ketika insiden suram terjadi di sekolah bergengsi mereka, keadilan melalui hukum diuji oleh seorang profesor hukum yang tangguh dan murid-muridnya yang ambisius.","Mystery,  Law,  Crime,  Drama ","Smart Male Lead, Lawyer, Teacher, Student, School, Rich Male Lead, Law Student, Campus Life, Hardworking Female Lead, University","8.7","DIbintangi oleh Kim bum dan sederet aktor ternama."
"42","Mouse","2021","20","tvN, Viki, WeTV, Apple TV","18+","Sebuah cerita menegangkan yang menanyakan pertanyaan kunci, “Bagaimana jika kita dapat mengidentifikasi psikopat terlebih dahulu?” Pembunuhan kejam seorang pembunuh berantai yang gila telah membuat seluruh bangsa dicekam ketakutan, dan kekacauan merajalela. Petugas polisi pemula yang mencari keadilan, Jung Ba Reum, berhadapan langsung dengan si pembunuh. Sementara dia selamat dari pertemuan berbahayanya dengan psikopat, Jung Ba Reum menemukan hidupnya benar-benar berubah di depan matanya.","Suspense,  Thriller,  Mystery,  Crime,  Sci-Fi ","Psychopath, Murder, Serial Killer, Police Officer, Dark Plot, Character Development, Investigation, Detective, Neurosurgeon, Extreme Violence","8.7","Drama ini dibintangi oleh aktor ternama yaitu Lee Seung Gi"
"43","The Fiery Priest","2019","40","SBS, Apple TV, Viki","15+","Kim Hae Il adalah seorang pendeta Katolik. Dia membuat komentar dengki dan dia bisa kasar kepada orang lain. Koo Dae Young adalah seorang detektif. Dia banyak bicara dan dia juga pemalu. Park Kyung Sun adalah seorang jaksa. Dia pintar dan cantik. Dia juga ambisius sebagai jaksa dan bagus dalam pekerjaannya.","Action,  Mystery,  Comedy,  Crime,  Drama ","Badass Male Lead, Priest, Eccentric Male Lead, Sassy Female Lead, Bromance, Aggressive Male Lead, Church, Strong Friendship, PTSD, Sismance","8.7","Merupakan drama pertama SBS yang tayang tiap Jumat - Sabtu."
"44","Descendants of the S","2016","16","KBS2, WeTV, Netflix, Iflix, Apple TV, Viki","15+","Sebuah kisah cinta yang berkembang antara seorang ahli bedah dan seorang perwira pasukan khusus.","Action,  Military,  Comedy,  Romance,  Medical,  M","Soldier, Hardworking Female Lead, Doctor, Multiple Couples, Bromance, Hardworking Male Lead, Charming Male Lead, Gun Violence, Filmed Abroad, Friendship","8.7","Pendapatan drama ini melampaui drama ""My Love From the Star""."
"45","Hotel del Luna","2019","16","tvN, Apple TV, Prime Video, Viki, WeTV, Netflix","15+","Terletak jauh di jantung pusat kota Seoul yang berkembang, terdapat sebuah hotel yang aneh, yang belum pernah dilihat siapa pun sebelumnya. Tua tak terkira, bangunan telah berdiri selama ribuan tahun, bukti yang selalu hadir fakta bahwa segala sesuatu tidak selalu seperti yang terlihat. Menjalankan hotel ini adalah Jang Man Wol, serakah, jiwa mencurigakan yang telah menghabiskan seribu tahun terakhir bertindak sebagai CEO pendirian. Diikat ke hotel oleh dewa yang menahannya di sana untuk menyelamatkannya dari mengamuk dan menghancurkan diri sendiri dengan kemarahan, kebencian, dan kehausan untuk membalas dendam. Satu-satunya harapannya untuk melarikan diri adalah jika dia bisa melepaskan dendam dan kebenciannya, dan menemukan cinta. Terperangkap dalam kebenciannya karena pengkhianatan, Man Wol ditakdirkan untuk menghabiskan semua kekekalan menjalankan pendirian aneh ini, melayani kebutuh","Mystery,  Horror,  Comedy,  Romance,  Drama,  Fant","Immortal, Boss/Employee Relationship, Strong Female Lead, Ghost, Ghost-seeing Male Lead, Hotel, Rich Female Lead, Nice Male Lead, Warm Man/Cold Woman, Strong Friendship","8.7","Drama ini terinspirasi dari drama ""The Master's Sun"", yakni sama-sama bertemu dengan hantu."
"46","Dr. Romantic","2016","20","SBS, WeTV, Netflix, Viki","15+","Kim Sa Bu pernah menjadi ahli bedah terkenal di puncak karirnya di sebuah rumah sakit besar. Tapi dia tiba-tiba menyerahkan semuanya suatu hari untuk hidup dalam pengasingan dan bekerja sebagai dokter lingkungan di sebuah kota kecil. Dia sekarang menggunakan ""Guru Kim"" dan menyebut dirinya sebagai ""Dokter Romantis"". Sementara itu, Kang Dong Joo menjadi dokter untuk menjadi dirinya sendiri setelah tumbuh miskin, dan dia mencari pasien VIP untuk mencapai kesuksesan yang sangat dia inginkan. Yoon Seo Jung adalah seorang ahli bedah muda yang bersemangat yang dihantui oleh kesalahan dari masa lalunya dan mencoba untuk melupakannya. Saat Dong Joo dan Seo Jung bertemu dengan Guru Kim yang unik, hidup dan karir mereka tidak akan pernah sama lagi.","Romance,  Drama,  Medical ","Doctor, Surgeon, Smart Male Lead, Strong Female Characters, Hardworking Female Lead, Hardworking Male Lead, Character Development, Smart Female Lead, Boss/Employee Relationship, Slow Burn Romance","8.7","Drama ini berhasil membawa pulang tujuh gelar dan menjadikan Drama Korea terjaya menurut SBS Award 2016"
"47","Arthdal Chronicles P","2019","6","tvN,  Netflix","15+","Mengikuti Bagian I & II, Ta Gon mendapatkan apa yang dia inginkan saat dia duduk di atas singgasananya. Namun, sekarang hidup dan tahtanya terancam saat Eun Seom mulai mengumpulkan kekuatan di antara para budak dan petani Arth saat ia mulai melawan balik para elit. Meskipun Ta Gon sejauh ini merahasiakan warisan setengah Neanthalnya dari dunia,
matanya bersinar ungu, bersiap untuk bertarung habis-habisan melawan Eun Seom.","Historical,  Romance,  Drama,  Fantasy,  Political","Twins, Power Struggle, War, Supernatural Power, Strong Female Lead, Identical Twins, Curse, Revenge, Superhuman Strength, Pre-produced","8.7","Pada season pertama, drama ini memakan biaya produksi mencapai 40 miliar Won atau serata Rp 501 miliar."
"48","Tunnel","2017","16","OCN, K-DRAMA, Viki, WeTV, Netflix","15+","Pada tahun 1986, Park Gwang Ho bekerja sebagai detektif yang sangat baik dan antusias. Hidupnya berubah ketika dia mengejar petunjuk dalam kasus pembunuhan berantai dan kemudian melewati portal waktu, yang membawanya ke Seoul saat ini. Dia bertemu dengan pasangan baru Kim Sun Jae, seorang detektif elit yang kebetulan sedikit eksentrik, tetapi merupakan salah satu penyelidik yang sangat terampil. Duo detektif juga akan mencari bantuan profesor psikologi, Shin Jae Yi.","Thriller,  Mystery,  Crime,  Fantasy ","Time Travel, Serial Killer, Murder, Bromance, Strong Female Lead, Police Officer, Calm Female Lead, Criminal Profiler, Police, Hidden Relationship","8.7","Drama ini mengambil latar belakang pada tahun 1986."
"49","Live","2018","18","tvN,  Netflix","15+","Drama ini berkisah tentang insiden yang terjadi di kepolisian dan kegembiraan, kesedihan, dan rasa sakit yang dialami petugas polisi saat mereka mencoba melindungi keadilan.","Friendship,  Comedy,  Romance,  Crime ","Police Officer, Teamwork, Police, Violence, Strong Friendship, Slice Of Life, Policewoman, Strong Female Lead, Smart Female Lead, Male Chases Female First","8.7","Drama ini merupakan salah satu Drama Korea berperingkat tertinggi dalam sejarah televisi kabel."
"50","Strong Woman Do Bong","2017","16","jTBC, Disney+ Hotstar, WeTV, Netflix, Apple TV, Pr","15+","Do Bong Soon adalah wanita penganggur mungil yang jujur ​​dan baik hati. Dia tampak kecil dan manis di luar, tetapi dia sebenarnya sangat, sangat kuat. Di keluarganya, selama beberapa generasi para wanita telah dikaruniai kekuatan Hercules untuk digunakan demi kebaikan yang lebih besar. Namun, jika disalahgunakan, kekuasaan mereka akan diambil. Sementara membela dirinya sendiri setelah anggota geng menggertaknya, dia mendapati dirinya didekati oleh Ahn Min Hyuk, CEO Ainsoft yang tampan dan agak kekanak-kanakan, sebuah perusahaan game. Ahn Min Hyuk, yang memiliki ketidakpercayaan besar terhadap polisi, menyaksikan seluruh pertukaran kekuatan manusia super Bong Soon, dan sekarang ingin mempekerjakannya sebagai pengawal setelah diancam oleh musuh yang tidak dikenal. Min Hyuk jatuh cinta pada Bong Soon yang sangat kuat pada pandangan pertama, tapi ada masalah. Bong Soon memiliki mata untuk o","Action,  Thriller,  Comedy,  Romance,  Drama,  Sup","Strong Female Lead, Female Lead Action Scenes, Love Triangle, Superhuman Strength, Strong Female Characters, Game Developer, Gangster, Nice Male Lead, Bodyguard, Workplace","8.7","Drama romantis-komedi ini berhasil berada di perignkat kedua tertinggi drama JTBC sepanjang sejarah."
"51","Hot Stove League","2019","16","SBS, Viki, Netflix","15+","Tentang masa persiapan tim bisbol liga utama. Drama ini berfokus pada tim pecundang yang mempersiapkan musim yang luar biasa setelah kedatangan manajer umum baru mereka, dan setiap episode akan fokus pada masalah yang mereka miliki saat mereka bersiap untuk menjadi tim yang lebih kuat.","Drama,  Sports,  Melodrama ","Hardworking Female Lead, Baseball, Hardworking Male Lead, Workplace, Teamwork, Mature Protagonist, General Manager, Corruption, Successful Male Lead, Tough Male Lead","8.7","Lewat drama ini, Nam Goong Min berhasil mendapatkan penghargaan Daesang di SBS Drama Awards 2020."
"52","Moon Lovers","2016","20","SBS, Prime Video, Netflix","15+","Ketika gerhana matahari total terjadi, Go Ha Jin dibawa kembali ke masa awal Dinasti Goryeo Korea selama pemerintahan Raja Taejo. Dia terbangun dalam tubuh Hae Soo yang berusia 16 tahun dan mendapati dirinya tinggal di rumah Pangeran Wang Wook ke-8, yang menikah dengan sepupu Hae Soo. Dia segera berteman dengan beberapa pangeran dan bertemu dengan Pangeran ke-4 yang dikucilkan, Wang So. Meskipun mengetahui dia tidak boleh terlibat dalam intrik istana atas suksesi takhta, dia secara tidak sengaja menjadi pion dalam perjuangan, karena beberapa Pangeran jatuh cinta padanya.","Action,  Historical,  Romance,  Fantasy ","Goryeo Dynasty, Prince Lead, Power Struggle, Sibling Rivalry, Tearjerker, King/Emperor, Time Travel, Death, Gwangjong, Reverse-Harem","8.7","Drama ini diadaptasi dari novel “Bu Bu Jing Xin” (步步惊心) oleh Tong Hua (桐华)."
"53","Strangers from Hell","2019","10","OCN, Prime Video, Netflix","15+","Yoon Jong Woo adalah seorang pria muda berusia 20-an yang pindah dari pedesaan ke Seoul setelah teman kuliahnya, Jae Ho, menawarinya pekerjaan. Saat mencari tempat tinggal, ia menemukan Eden Gosiwon, sebuah hostel murah yang berbagi dapur dan kamar mandi dengan penghuni lain. Dia tidak senang dengan kualitas tempat atau penghuni abnormal lainnya, seperti tetangga sebelahnya Seo Moon Jo, seorang dokter gigi karismatik. Namun demikian, Jong Woo memutuskan untuk bertahan selama 6 bulan sampai dia memiliki cukup uang untuk pindah. Namun, peristiwa misterius mulai terjadi di apartemen, menyebabkan Jong Woo mulai takut pada penghuni apartemen.","Thriller,  Horror,  Psychological,  Drama ","Adapted From A Webtoon, Murder, Hostel, PTSD, Dark Plot, Gaslighting, Mental Illness, Mental Torment, Trauma, Psychopath","8.6","Drama ini disutradarai oleh Lee Chang Hee yang telah sukses menggarap film psikologi thriller yang menegangkan yaitu The Vanished (2018)."
"54","It's Okay, That's Lo","2014","16","SBS, Disney+ Hotstar, WeTV, Netflix, Viki","15+","Meskipun sedikit berduri, Jang Jae Yeol telah menjadi terkenal karena menulis novel misteri dan menjadi pembawa acara radio populer. Saat duduk di panel talk show dengan psikiater Ji Hae Soo, menjadi jelas bagi semua orang bahwa keduanya hanya saling menggosok dengan cara yang salah.","Friendship,  Psychological,  Comedy,  Romance,  Dr","Strong Female Lead, Psychiatry, Mental Health, Trauma, Charming Male Lead, Healing, Adult Romance, Melodrama, Cohabitation, Housemates","8.6","Drama ini mendapatkan penghargaan spesial dari Asosiasi Schizophrenia Korea Selatan."
"55","Eulachacha Waikiki","2018","20","jTBC, WeTV, Netflix, Viki","15+","Tiga pemuda yang sangat berbeda – Dong Goo, penjelmaan nasib buruk yang bercita-cita menjadi sutradara film, Joon Ki, aktor eksentrik yang tampil untuk mencari nafkah, dan Doo Shik, seorang penulis lepas yang sering tidak melakukan apa-apa membuka wisma bernama “Waikiki” di Itaewon tempat banyak orang asing datang untuk menginap. Meskipun mereka tidak tahu bagaimana menjalankannya, mereka ingin sekali mendapatkan uang untuk membayar produksi film mereka yang akan datang.","Friendship,  Comedy,  Life,  Youth,  Drama ","Housemates, Bromance, Friends To Lovers, Single Parent, Motherhood, Cohabitation, Babysitting, Single Mother, Childhood Friends, Secondary Couple","8.6","Drama ini mendapatkan rating yang tinggi dari penonton dan banyak sekali komentar positif tentang drama Waikiki ini."
"56","The Bridal Mask","2012","28","KBS2, Viki, Netflix","15+","Lee Kang To adalah seorang perwira Korea yang ambisius dan tidak berperasaan yang dipekerjakan oleh penjajah Jepang. Meskipun ibunya tidak setuju dengan pekerjaannya dan sejarah antagonis saudaranya sendiri dengan Jepang, Kang To terus bermain dengan aturan penjajah dengan harapan menjadi sukses dan membawa keluarganya keluar dari kemiskinan. Namun, sosok misterius yang mengenakan Topeng Pengantin tradisional sepertinya selalu menghalangi jalan Kang To. Topeng Pengantin muncul sebagai sosok seperti Zorro yang melindungi rakyat dari penindasan dan penyalahgunaan kekuasaan penjajah Jepang. Peristiwa pergantian tak terduga membawa Kang To untuk berpapasan dengan Topeng Pengantin yang misterius, mengubah masa depannya dan sejarah bangsa selamanya.","Action,  Historical,  Romance,  Political ","Japanese Colonial Rule, Hidden Identity, Revenge, Rebellion, Murder, Love Triangle, Adapted From A Manhwa, Investigation, Drama, Sword-fight","8.6","Drama pertama yang disutradarai oleh Cha Young Hoon dan mendapatkan rating yang tinggi."
"57","Children of Nobody","2018","32","MBC, Viki","15+","Cha Woo Kyung adalah seorang konselor anak yang bekerja di pusat anak-anak. Hidupnya tampak sempurna karena dia menikah dengan suami yang hebat dan sedang hamil. Namun, hidupnya yang sempurna tidak bertahan lama, ketika sebuah kecelakaan mengubah hidupnya. Dia kemudian bertemu Kang Ji Hun, seorang detektif yang ketat terhadap penjahat dan percaya bahwa mereka harus dihukum sepenuhnya.","Thriller,  Mystery,  Psychological,  Crime,  Drama","Trauma, Child Abuse, Smart Female Lead, Child Behavior Issues, Abuse, Murder, Tragic Past, Psychiatry, Child Abandonment, Domestic Violence","8.6","Drama ini diproduksi oleh Mega Monster untk MBC dan dibintangi oleh Kim Sun-a, Lee Yi-Kyung, Nam Gyu-ri, dan Cha Hak-yeon."
"58","My Father is Strange","2017","52","KBS2, Viki, Netflix, Apple TV","15+","Drama ini adalah tentang sebuah keluarga yang tinggal di pinggiran kota Seoul. Byun Han Soo adalah ayah dan istrinya, Na Yeong Shil adalah ibu yang berdedikasi dan bertanggung jawab untuk ketiga putrinya dan satu putra termasuk Hye Yeong, Mi Yeong, Ra Yeong, dan Joon Young. Tiba-tiba suatu hari, Ahn Joong Hee muncul di rumah dan menyatakan bahwa dia adalah putra keluarga. Joong Hee adalah seorang aktor yang pernah menjadi anggota grup idola. Dia mulai tinggal bersama mereka.","Comedy,  Romance,  Drama,  Family ","Huge Family, Family Secret, Sisterhood, Eccentric Female Lead, Fake Incest, Multiple Couples, Strong Female Lead, Lawyer, Father-Daughter Relationship, Mother-Daughter Relationship","8.6","Drama ini memecahkan rekor dengan mencetak angka 30 persen rating penonton."
"59","Good Manager","2017","20","KBS2, Viki, Netflix","15+","Bisakah politik perusahaan mengubah orang jahat menjadi orang baik? Kim Sung Ryong adalah seorang akuntan terampil yang bekerja untuk gangster. Dia masuk ke sebuah perusahaan bernama TQ Group sebagai manajer menengah di departemen akuntansi dengan tujuan menggelapkan uang dari perusahaan. Saat ia bersaing dengan akuntan hot-shot Yoon Ha Kyung, ahli keuangan Seo Yul dan pekerja magang yang bersemangat Hong Ga Eun, Sung Ryong menemukan dirinya terlibat dalam politik kantor dan memperhatikan kejahatan lain oleh mereka yang berkuasa yang mengancam untuk menjatuhkan perusahaan. Sung Ryong perlahan menyadari bahwa dia lebih suka melawan korupsi perusahaan dan memperjuangkan hak-hak karyawan daripada menyelesaikan misi yang awalnya dia lakukan. Bisakah dia berhasil dalam tujuan barunya melawan segala rintangan?","Business,  Comedy,  Drama ","Character Development, Eccentric Male Lead, Corruption, Smart Female Lead, Accountant, Bromance, Smart Male Lead, Eccentric Character, Con Artist, Strong Female Lead","8.6","Pemeran drama ini yakni Namgoong Min dan Junho 2PM pernah meraih Best Couple berkat chemistry mereka."
"60","Go Back Couple","2017","12","KBS2, Viki, Netflix","15+","Pasangan menikah berusia 38 tahun, Choi Ban Do dan Ma Jin Joo, jatuh cinta ketika mereka menikah tetapi sekarang, saling membenci dan menyesal menikah di usia yang begitu muda. Choi Ban Do dibebani sebagai pencari nafkah, dan Ma Jin Joo adalah ibu rumah tangga dengan harga diri rendah. Pasangan itu melakukan perjalanan melalui waktu dan menemukan diri mereka sebagai 20 tahun mahasiswa lama ketika mereka bertemu untuk pertama kalinya.","Comedy,  Romance,  Life,  School,  Drama,  Family,","Time Travel, Love/Hate Relationship, Marriage, Mother-Daughter Relationship, Misunderstanding, 1990s, Failing Marriage, Married Couple, Sassy Female Lead, Sismance","8.6","Pemeran wanita drama ini yakni Han Bo Reum mendapatkan penghargaan di usia 31 tahun."
"61","Stranger 2","2020","16","tvN,  Netflix","15+","Kantor kejaksaan dan polisi berada di pihak yang berlawanan. Para jaksa, termasuk jaksa elit Woo Tae Ha, menginginkan kekuasaan diskresi atas penyelidikan. Sementara itu, polisi, termasuk Choi Bit, berusaha mendapatkan otoritas investigasi lengkap yang independen dari kantor kejaksaan.","Thriller,  Law,  Crime,  Drama ","Corruption, Calm Male Lead, Prosecutor, Smart Male Lead, Emotional Blunting, Law, Strong Female Lead, Suspense, Police Officer, Power Struggle","8.6","Drama ini dibintangi oleh oleh Cho Seung Woo dan Bae Doo Na."
"62","My Love from the Sta","2013","21","SBS, Viki, Netflix","15+","Do Min Joon adalah alien yang mendarat di Bumi 400 tahun yang lalu selama periode Dinasti Joseon. Dia memiliki penampilan yang hampir sempurna dan kemampuan fisik yang ditingkatkan yang melibatkan penglihatan, pendengaran, dan kecepatannya. Kemudian, ia menemukan bahwa ia memiliki tiga bulan tersisa di Bumi. Dan saat itulah dia bertemu Cheon Song Yi, bintang Hallyu terbesar di Korea.","Comedy,  Romance,  Drama,  Fantasy,  Melodrama ","Alien, Interspecies Romance, Famous Actress, Celebrity, Professor, Sassy Female Lead, Superhuman Strength, Time Manipulation, Cyberbullying, Star Crossed Lovers","8.6","Pemeran karakter utama drama ini yakni Cheon Song-yi, Jun Ji-hyun, berhasil mendapatkan penghargaan Daesang."
"63","Age of Youth","2016","12","jTBC, Apple TV, Prime Video, Netflix","15+","Lima gadis berusia dua puluhan datang untuk tinggal bersama di sebuah rumah bernama ""Belle Epoque,"" yang berarti ""waktu yang indah"" dalam bahasa Prancis. Setiap gadis memiliki kepribadian, latar belakang, dan masalah tertentu. Selain kelima gadis itu, mereka percaya ada kehadiran keenam - hantu yang tinggal di rumah, tetapi masing-masing melihat hantu itu secara berbeda. Saat para gadis merasakan ikatan simpati dan menjadi lebih dekat, mereka juga menangani masalah pribadi mereka saat mereka menjalani usia dua puluhan yang penting. Drama ini mengikuti perjuangan dan insiden mereka yang berhubungan dengan hubungan - dalam lingkaran mereka, dengan kencan, dan satu sama lain - dan berbagai peristiwa yang mereka alami termasuk kredit, part-
pekerjaan waktu, minum, harapan dan impian.","Friendship,  Mystery,  Comedy,  Romance,  Life,  Y","Housemates, Female Centered Plot, Sismance, Multiple Mains, College Life, Strong Female Lead, Coming Of Age, Strong Female Characters, Multiple Couples, Hardworking Female Lead","8.6","Drama ini disutradarai oleh Lee Tae Gon, Kim Sang Ho serta penulis nahkah yaitu Park Yeon Seon."
"64","Mystic Pop-Up Bar","2020","12","jTBC,  Netflix","15+","“Mystic Pop-Up Bar” didasarkan pada webtoon populer dengan nama yang sama dan menceritakan kisah pojangmacha misterius (tempat minum di luar ruangan) yang dijalankan oleh seorang wanita berduri dan pekerja paruh waktu yang tidak bersalah yang mengunjungi pelanggan dalam mimpi mereka untuk membantu menyelesaikan masalah. Masalah mereka.","Mystery,  Comedy,  Drama,  Family,  Fantasy ","Afterlife, Tragic Past, Grudge, Hot-tempered Female Lead, Spirit, Adapted From A Webtoon, Special Power, Family Relationship, Flashback To Past, Food","8.6","Merupakan drama kedua yang dibintangi oleh Choi Won Young pada tahun 2020."
"65","Jewel in the Palace","2003","54","MBC, Viki","15+","Sekitar 500 tahun yang lalu selama masa Dinasti Chosun, Korea memiliki struktur sosial yang hierarkis dan didominasi laki-laki. Berdasarkan kisah nyata tentang seorang gadis legendaris, Jang Geum, yang menjadi wanita pertama yang menjadi tabib kerajaan tertinggi pada zamannya. Meskipun kondisinya buruk sebagai gadis kelas bawah di masyarakat yang didominasi laki-laki, Jang Geum mengatasi serangkaian diskriminasi sosial dan menjadikan dirinya sebagai juru masak kerajaan, kemudian menjadi tabib kerajaan, kemudian akhirnya menjadi tabib yang bertanggung jawab atas raja. Dia bahkan diberikan oleh raja gelar ""The Great Jang Geum."" Kisah kehidupan kotak-kotaknya tentang kesuksesan dan kehancurannya serta kisah cintanya terungkap dengan indah.","Food,  Historical,  Romance,  Drama,  Medical,  Me","Physician, Cooking, Strong Female Lead, Royal Rules And Etiquette, Joseon Dynasty, Royal Cook, Faithful Male Lead, Smart Female Lead","8.6","Drama ini dibintangi oleh Lee Youn Ae, Ji Jin Hee, dan pemeran pendukung lainnya sukses mendapatkan penghargaan di berbagai ajang bergengsi di Korea."
